generated_at,input_source,generator,ticker,company,sector,rank,score,signal_summary,date,retrieval_query,insight,key_points,risk_points,evidence_count,evidence_titles,evidence_sources
2026-04-30T17:15:16.491720+00:00,xgboost_backtesting_outputs/ranking/ranked_holdings_all_sectors.csv,openai,V,Visa,Finance,1,0.9424078601420116,Final Score=0.942; ML Score=0.064; Momentum Score=-0.095; 20D Return=-0.06; 60D Return=-0.143; RSI=20.438; Volatility=0.015,2026-03-20,V V why this stock ranks highly. recent earnings growth profitability outlook risks. Final Score=0.942; ML Score=0.064; Momentum Score=-0.095; 20D Return=-0.06; 60D Return=-0.143; RSI=20.438; Volatility=0.015,"Visa ranks highly due to its strong fiscal Q1 2026 performance, with net revenue rising 15% year-over-year to $10.9 billion, reflecting robust growth in its global payments network. An upside driver is Visa's expanding transaction volume and revenue growth, supported by its secure and efficient payment technology across over 200 countries. However, risks include regulatory pressures on payment fees, potential litigation, and sensitivity to weaker consumer and travel spending, which could slow payment volumes and impact earnings.","Visa reported strong fiscal first quarter 2026 results for the quarter ended December 31, 2025. | For fiscal year 2025, Visa reported net revenue of $40.0 billion, compared with $35.9 billion in fiscal 2024 and $32.7 billion in fiscal 2023. | Visa is a global payments technology company that facilitates secure, reliable, and efficient commerce and money movement among consumers, sellers, financial institutions, businesses, strategic partners, and governments.","Risks to mention include litigation provisions, regulation of payments fees, and the possibility that weaker consumer spending could slow payments volume. | Main risks include legal and regulatory pressure on payment economics, client incentives, macro sensitivity in consumer and travel spending, and competitive pressure from other payment networks and emerging payment rails.",3,Visa Q1 Fiscal 2026 Earnings Highlights | Visa Financial Summary From Fiscal 2025 Annual Report | Visa Company Overview,https://s1.q4cdn.com/050606653/files/doc_financials/2026/q1/Q1-2026-Earnings-Release_vF.pdf | https://annualreport.visa.com/financials/ | https://annualreport.visa.com/financials/
2026-04-30T17:15:16.491720+00:00,xgboost_backtesting_outputs/ranking/ranked_holdings_all_sectors.csv,openai,UNH,UnitedHealth Group,Healthcare,2,0.5675781221678164,Final Score=0.568; ML Score=0.057; Momentum Score=-0.129; 20D Return=-0.05; 60D Return=-0.152; RSI=31.296; Volatility=0.018,2026-03-20,UNH UNH why this stock ranks highly. recent earnings growth profitability outlook risks. Final Score=0.568; ML Score=0.057; Momentum Score=-0.129; 20D Return=-0.05; 60D Return=-0.152; RSI=31.296; Volatility=0.018,"UnitedHealth Group ranks highly due to its substantial scale and diversified healthcare platform, generating $447.6 billion in 2025 revenue, driven by its UnitedHealthcare and Optum businesses. An upside driver is its strong cash generation and broad service offerings across Medicare, Medicaid, and pharmacy services. However, risks include a lower revenue outlook for 2026 amid elevated medical costs, reimbursement pressures, cybersecurity expenses, and regulatory scrutiny, which may challenge near-term performance recovery.","UnitedHealth Group reported full-year and fourth-quarter 2025 results and issued its 2026 outlook on January 27, 2026. | UnitedHealth Group is a health care and well-being company that operates through two complementary businesses: UnitedHealthcare and Optum. | UnitedHealth Group generated 2025 consolidated revenue of $447.567 billion.","The release is useful RAG evidence because it shows UnitedHealth Group remained very large and cash-generative, but entered 2026 with a lower revenue outlook and a need to rebuild performance after elevated medical cost trends, reimbursement pressure, cyberattack costs, restructuring, and scrutiny around parts of the business. | The company is important for investment analysis because its performance depends on membership growth, premium pricing, medical care costs, Medicare Advantage rates, Medicaid redeterminations, pharmacy services volume, value-based care execution, regulatory scrutiny, technology investment, cybersecurity, and the ability of Optum and UnitedHealthcare to work together across a large health care platform.",3,UnitedHealth Group 2025 Results and 2026 Outlook | UnitedHealth Group Company Overview | UnitedHealth Group Financial Summary From 2025 Form 10-K,https://www.unitedhealthgroup.com/newsroom/2026/2026-01-27-uhg-reports-2025-results-and-issues-2026-outlook.html | https://www.sec.gov/Archives/edgar/data/731766/000073176626000062/unh-20251231.htm | https://www.sec.gov/Archives/edgar/data/731766/000073176626000062/unh-20251231.htm
2026-04-30T17:15:16.491720+00:00,xgboost_backtesting_outputs/ranking/ranked_holdings_all_sectors.csv,openai,JPM,JPMorgan Chase,Finance,3,0.4368684273904111,Final Score=0.437; ML Score=0.048; Momentum Score=-0.081; 20D Return=-0.078; 60D Return=-0.113; RSI=29.956; Volatility=0.014,2026-03-20,JPM JPM why this stock ranks highly. recent earnings growth profitability outlook risks. Final Score=0.437; ML Score=0.048; Momentum Score=-0.081; 20D Return=-0.078; 60D Return=-0.113; RSI=29.956; Volatility=0.014,"JPMorgan Chase ranks third with a solid score of 0.437, driven by strong financial performance including a 13% year-over-year net income increase to $16.5 billion in Q1 2026 and robust 2025 revenue of $182.4 billion. The firm's scale and profitability underpin its upside potential. However, risks such as credit losses, interest-rate fluctuations, market volatility, and regulatory changes could impact future results.","JPMorgan Chase's 2025 financial highlights show the scale and profitability of the firm. | JPMorgan Chase reported first-quarter 2026 net income of $16.5 billion, up 13% year over year, and diluted EPS of $5.94. | JPMorgan Chase & Co. is one of the largest global financial services firms, headquartered in New York and operating worldwide under the J.P.","Main risks include credit losses, deposit competition, interest-rate changes, capital requirements, market volatility, cyber and operational risk, geopolitical uncertainty, regulatory changes, and the cyclicality of investment banking and markets revenue.",3,JPMorgan Chase Financial Summary From 2025 Annual Report | JPMorgan Chase Q1 2026 Earnings Highlights | JPMorgan Chase Company Overview,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/financial-highlights-2025.pdf | https://www.sec.gov/Archives/edgar/data/19617/000162828026024990/a1q26erfexhibit991narrative.htm | https://jpmorganchaseco.gcs-web.com/news-releases/news-release-details/jpmorganchase-reports-first-quarter-2026-financial-results
2026-04-30T17:15:16.491720+00:00,xgboost_backtesting_outputs/ranking/ranked_holdings_all_sectors.csv,openai,JNJ,Johnson & Johnson,Healthcare,4,0.4071846510330097,Final Score=0.407; ML Score=0.022; Momentum Score=0.139; 20D Return=-0.029; 60D Return=0.135; RSI=23.964; Volatility=0.01,2026-03-20,JNJ JNJ why this stock ranks highly. recent earnings growth profitability outlook risks. Final Score=0.407; ML Score=0.022; Momentum Score=0.139; 20D Return=-0.029; 60D Return=0.135; RSI=23.964; Volatility=0.01,"Johnson & Johnson ranks 4th with a solid score of 0.41, supported by strong sales growth—Q1 2026 sales rose 9.9% year-over-year to $24.1 billion, and 2025 full-year sales increased 6% to $94.2 billion. The recent European launch of VARIPULSE Pro expands its innovative cardiac treatment portfolio, driving future growth. However, risks include patent expirations, biosimilar competition, pricing pressures, and regulatory challenges that could impact revenue replacement and profitability.","Johnson & Johnson's 2025 Form 10-K reported worldwide sales to customers of $94.2 billion, up 6.0% from $88.8 billion in 2024. | Johnson & Johnson announced the European launch of VARIPULSE Pro after CE Mark approval, expanding its pulsed field ablation portfolio for cardiac procedures. | Johnson & Johnson reported first-quarter 2026 sales of $24.1 billion, up 9.9% year over year on a reported basis, with operational growth of 6.4% and adjusted operational growth of 5.3%.","Key risks include patent expirations, biosimilar competition, legal proceedings, pricing pressure, clinical trial execution, regulatory decisions, and the need to continue replacing older product revenue with new medicines and technologies.",3,Johnson & Johnson Financial Summary From 2025 Form 10-K | Johnson & Johnson Launches VARIPULSE Pro in Europe | Johnson & Johnson Q1 2026 Earnings Highlights,https://www.sec.gov/Archives/edgar/data/200406/000020040626000016/jnj-20251228.htm | https://www.jnj.com/media-center/press-releases/johnson-johnson-advances-pulsed-field-ablation-portfolio-with-the-launch-of-varipulse-pro-in-europe | https://www.jnj.com/media-center/press-releases/johnson-johnson-reports-q1-2026-results-raises-2026-outlook
2026-04-30T17:15:16.491720+00:00,xgboost_backtesting_outputs/ranking/ranked_holdings_all_sectors.csv,openai,MRK,Merck,Healthcare,5,0.3238253095917788,Final Score=0.324; ML Score=0.016; Momentum Score=0.171; 20D Return=-0.066; 60D Return=0.09; RSI=18.97; Volatility=0.015,2026-03-20,MRK MRK why this stock ranks highly. recent earnings growth profitability outlook risks. Final Score=0.324; ML Score=0.016; Momentum Score=0.171; 20D Return=-0.066; 60D Return=0.09; RSI=18.97; Volatility=0.015,"Merck ranks 5th with a moderate score of 0.324, supported by steady sales growth—$65.0 billion in 2025, up 1% from 2024—and a diverse healthcare portfolio including prescription medicines and vaccines. An upside driver is its strong global sales and expanding pipeline. However, risks include heavy dependence on KEYTRUDA, significant sales declines in GARDASIL vaccines due to lower demand, and challenges like patent expirations and pricing pressures.","Merck's 2025 Form 10-K reported sales of $65.0 billion, compared with $64.2 billion in 2024 and $60.1 billion in 2023. | Merck reported fourth-quarter 2025 worldwide sales of $16.4 billion, up 5% year over year, and full-year 2025 worldwide sales of $65.0 billion, up 1%. | Merck & Co., Inc., known as MSD outside the United States and Canada, is a global healthcare company focused on prescription medicines, biologic therapies, vaccines, and animal health products.","Key risks include dependence on KEYTRUDA, future patent and exclusivity loss, vaccine demand declines, regulatory approvals, clinical trial execution, pricing pressure, currency exposure, competition, and integration of acquisitions. | A key weakness was GARDASIL and GARDASIL 9, where full-year sales declined 39% to $5.2 billion, mainly due to lower demand in China and other market pressures.",3,Merck Financial Summary From 2025 Form 10-K | Merck Q4 and Full-Year 2025 Earnings Highlights | Merck Company Overview,https://www.sec.gov/Archives/edgar/data/310158/000031015826000063/mrk-20251231.htm | https://www.merck.com/news/merck-highlights-progress-advancing-broad-diverse-pipeline/ | https://www.sec.gov/Archives/edgar/data/310158/000031015826000063/mrk-20251231.htm
2026-04-30T17:15:16.491720+00:00,xgboost_backtesting_outputs/ranking/ranked_holdings_all_sectors.csv,openai,AAPL,Apple,Technology,6,0.2772410177466523,Final Score=0.277; ML Score=0.04; Momentum Score=-0.049; 20D Return=-0.063; 60D Return=-0.085; RSI=23.604; Volatility=0.013,2026-03-20,AAPL AAPL why this stock ranks highly. recent earnings growth profitability outlook risks. Final Score=0.277; ML Score=0.04; Momentum Score=-0.049; 20D Return=-0.063; 60D Return=-0.085; RSI=23.604; Volatility=0.013,"Apple ranks 6th with a moderate score of 0.277, supported by record fiscal Q1 2026 results including $143.8 billion revenue and strong profitability with $42.1 billion net income, highlighting robust cash generation. An upside driver is Apple's continued leadership in consumer electronics and digital services. However, momentum and short-term returns are negative, with a 20-day return of -6.3% and RSI at 23.6, indicating potential near-term weakness risk.","Apple reported record fiscal first-quarter results for the period ended December 27, 2025. | Apple Inc. is a technology company best known for designing, manufacturing, and selling consumer electronics, software, and digital services. | Apple's Q1 2026 Form 10-Q showed strong profitability and cash generation.",,3,Apple Fiscal Q1 2026 Earnings Highlights | Apple Company Overview | Apple Financial Summary From Q1 2026 Form 10-Q,https://www.apple.com/newsroom/2026/01/apple-reports-first-quarter-results/ | https://finance.yahoo.com/quote/AAPL/profile/ | https://www.sec.gov/Archives/edgar/data/320193/000032019326000006/aapl-20251227.htm
2026-04-30T17:15:16.491720+00:00,xgboost_backtesting_outputs/ranking/ranked_holdings_all_sectors.csv,openai,PFE,Pfizer,Healthcare,7,0.047831357378373,Final Score=0.048; ML Score=0.019; Momentum Score=0.073; 20D Return=0.012; 60D Return=0.07; RSI=46.506; Volatility=0.014,2026-03-20,PFE PFE why this stock ranks highly. recent earnings growth profitability outlook risks. Final Score=0.048; ML Score=0.019; Momentum Score=0.073; 20D Return=0.012; 60D Return=0.07; RSI=46.506; Volatility=0.014,"Pfizer ranks 7th with a modest positive score driven by steady revenue growth excluding its COVID-19 products, supported by key drugs like Abrysvo and oncology biosimilars. However, overall revenue declined slightly in 2025 due to sharp drops in COVID-19 product demand, including a 35% operational decline in Comirnaty and 70% in Paxlovid. Key risks include drug pricing pressure, generic competition, and integration challenges from acquisitions, which could impact future growth despite the company's reaffirmed 2026 guidance.","For 2025, Pfizer reported revenue of $62.579 billion, compared with $63.627 billion in 2024 and $59.553 billion in 2023. | Pfizer reported fourth-quarter and full-year 2025 results and reaffirmed its full-year 2026 guidance. | Pfizer is a research-based global biopharmaceutical company headquartered in New York.","Key risks include drug pricing pressure, loss of exclusivity, generic and biosimilar competition, clinical trial failure, regulatory delays, COVID product demand declines, debt and deleveraging, and integration risk from acquisitions. | Growth in the quarter was supported by products such as Abrysvo, oncology biosimilars, Eliquis, Prevnar, Vyndaqel, Lorbrena, and Padcev, but COVID-19 products declined sharply, with Comirnaty down 35% operationally and Paxlovid down 70% operationally.",3,Pfizer Financial Summary From 2025 Annual Report | Pfizer Q4 and Full-Year 2025 Earnings Highlights | Pfizer Company Overview,https://annualreview.pfizer.com/ | https://www.sec.gov/Archives/edgar/data/78003/000007800326000005/pfe-12312025xex99.htm | https://www.sec.gov/Archives/edgar/data/78003/000007800326000026/pfe-20251231.htm
2026-04-30T17:15:16.491720+00:00,xgboost_backtesting_outputs/ranking/ranked_holdings_all_sectors.csv,openai,MSFT,Microsoft,Technology,8,0.0138738620599492,Final Score=0.014; ML Score=0.046; Momentum Score=-0.165; 20D Return=-0.039; 60D Return=-0.213; RSI=33.531; Volatility=0.015,2026-03-20,MSFT MSFT why this stock ranks highly. recent earnings growth profitability outlook risks. Final Score=0.014; ML Score=0.046; Momentum Score=-0.165; 20D Return=-0.039; 60D Return=-0.213; RSI=33.531; Volatility=0.015,"Microsoft ranks 8th with a modest positive score, supported by strong fiscal Q2 2026 results including 17% revenue growth and a 15% increase in fiscal 2025 revenue to $281.7 billion. The company's diverse technology portfolio and growth in cloud and AI platforms are key upside drivers. However, risks such as intense competition, high AI infrastructure costs, regulatory scrutiny, and execution challenges in commercializing AI products like Copilot could impact profitability and growth momentum.","Microsoft is a global technology company that develops software, cloud services, AI platforms, business applications, devices, gaming services, search advertising, and professional networking products. | Microsoft reported strong fiscal second quarter 2026 results for the quarter ended December 31, 2025. | For fiscal year 2025, Microsoft reported revenue of $281.7 billion, up 15% from $245.1 billion in fiscal 2024.","Key risks include intense competition, high AI infrastructure spending, cloud capacity constraints, security incidents, regulatory pressure, and the need to convert AI demand into profitable growth. | Important investment risks include higher datacenter and AI infrastructure costs, competition in cloud and AI, regulatory scrutiny, cybersecurity risk, dependence on large enterprise customers, and execution risk in commercializing Copilot and other AI products.",3,Microsoft Company Overview | Microsoft FY26 Q2 Earnings Highlights | Microsoft Financial Summary From Fiscal 2025 Annual Report,https://www.microsoft.com/investor/reports/ar25/index.html | https://www.microsoft.com/en-us/Investor/earnings/FY-2026-Q2/press-release-webcast | https://www.microsoft.com/investor/reports/ar25/index.html
2026-04-30T17:15:16.491720+00:00,xgboost_backtesting_outputs/ranking/ranked_holdings_all_sectors.csv,openai,BAC,Bank of America,Finance,9,-0.0168067929873087,Final Score=-0.017; ML Score=0.037; Momentum Score=-0.101; 20D Return=-0.111; 60D Return=-0.156; RSI=30.312; Volatility=0.018,2026-03-20,BAC BAC why this stock ranks highly. recent earnings growth profitability outlook risks. Final Score=-0.017; ML Score=0.037; Momentum Score=-0.101; 20D Return=-0.111; 60D Return=-0.156; RSI=30.312; Volatility=0.018,"Bank of America ranks 9th with a slightly negative overall score despite strong fundamentals, including a 17% rise in Q1 2026 net income to $8.6 billion and a 7% revenue increase driven by higher net interest income and fees. An upside driver is its diversified financial services and consistent revenue growth, as shown in its 2025 Form 10-K. However, risks such as credit quality, interest rate fluctuations, regulatory challenges, and macroeconomic pressures could impact future performance.","Bank of America reported first-quarter 2026 net income of $8.6 billion, up 17% from the year-ago quarter, and diluted EPS of $1.11, up 25%. | Bank of America Corporation is one of the world's largest financial institutions. | Bank of America's 2025 Form 10-K reported total revenue, net of interest expense, of $113.1 billion, compared with $105.9 billion in 2024.","Bank of America provides checking and savings products, credit cards, mortgages, auto loans, commercial lending, treasury services, wealth management, investment banking, trading, asset management, and financial risk management products. | Main risks include credit quality, interest rates, regulation, cybersecurity, geopolitical uncertainty, and macroeconomic pressure.",3,Bank of America Q1 2026 Earnings Highlights | Bank of America Company Overview | Bank of America Financial Summary From 2025 Form 10-K,https://investor.bankofamerica.com/regulatory-and-other-filings/select-sec-filings/content/0000070858-26-000222/bac03312026ex991.htm | https://investor.bankofamerica.com/profile | https://www.sec.gov/Archives/edgar/data/70858/000007085826000157/bac-20251231.htm
2026-04-30T17:15:16.491720+00:00,xgboost_backtesting_outputs/ranking/ranked_holdings_all_sectors.csv,openai,GOOGL,Alphabet,Technology,10,-0.1263449940186186,Final Score=-0.126; ML Score=0.015; Momentum Score=0.059; 20D Return=-0.044; 60D Return=-0.028; RSI=43.605; Volatility=0.013,2026-03-20,GOOGL GOOGL why this stock ranks highly. recent earnings growth profitability outlook risks. Final Score=-0.126; ML Score=0.015; Momentum Score=0.059; 20D Return=-0.044; 60D Return=-0.028; RSI=43.605; Volatility=0.013,"Alphabet ranks 10th with a slightly negative overall score despite strong fundamentals. The company demonstrated robust revenue growth and profitability in 2025, driven by momentum in Google Services and Google Cloud, which are key upside drivers. However, significant risks include regulatory investigations, antitrust challenges, and competition in AI and cloud markets, which could impact future performance. Investors should weigh Alphabet’s strong cash generation and growth prospects against these regulatory and execution risks.","Alphabet's 2025 Form 10-K showed strong revenue, profitability, and cash generation. | Alphabet reported strong fourth-quarter 2025 results for the period ended December 31, 2025. | Alphabet Inc. is the parent company of Google and operates primarily through Google Services, Google Cloud, and Other Bets.","Main risks include regulatory investigations, antitrust remedies, competition in AI and cloud, dependence on advertising, high infrastructure spending, and execution risk in newer businesses. | For investment analysis, Alphabet is important because it combines a highly profitable advertising business with fast-growing cloud and AI opportunities, while also facing significant regulatory and antitrust risks.",3,Alphabet Financial Summary From 2025 Form 10-K | Alphabet Q4 and Fiscal Year 2025 Earnings Highlights | Alphabet Company Overview,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm | https://s206.q4cdn.com/479360582/files/doc_news/2026/Feb/04/attachments/2025q4-alphabet-earnings-release.pdf | https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm
